mean,rms,variance,zero_crossings,dominant_frequency,spectral_entropy,signal_length,label,session,segment,frequency_bands
1.3421840000000003,1.350819019706193,0.023254134144,0,1.2000000000000002,2.969303634847677,500,mild,mild_session_20251019_105407,5,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.417186,1.4194525331972183,0.0064293354040000006,0,0.8,3.3166414718448114,500,mild,mild_session_20251019_105407,6,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4057890625,1.4060720248488339,0.0007956508178710937,0,3.125,3.0854521819853433,128,mild,mild_session_20251019_105407,7,"{'normal': 1, 'mild': 3, 'severe': 3, 'noise': 56}"
1.4298920000000002,1.4301150694961577,0.0006379803359999999,0,0.4,2.6684005799709647,500,mild,mild_session_20251017_192945,0,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4337800000000003,1.4341111867634255,0.0009498076,0,0.4,3.8495894412531477,500,mild,mild_session_20251017_192945,1,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4655880000000001,1.465906608212133,0.0009339982560000001,0,0.4,2.8902032321841675,500,mild,mild_session_20251017_192945,2,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4405160000000001,1.440839930040808,0.0009333577440000003,0,0.4,4.259779354463913,500,mild,mild_session_20251017_192945,3,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4799680000000002,1.4803971858930292,0.0012705469760000007,0,0.4,3.641686436394256,500,mild,mild_session_20251017_192945,4,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.450326,1.4508333033122722,0.0014717677240000003,0,0.4,4.288504336846557,500,mild,mild_session_20251017_192945,5,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.461446,1.4620075971074844,0.0016418030840000002,0,0.4,3.142760122793301,500,mild,mild_session_20251017_192945,6,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.0957959999999998,1.2244008167262876,0.29838848638399995,2,0.4,1.9359969757699398,500,mild,mild_session_20251019_105407,0,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.211384,1.2275865281111553,0.039517488544,0,0.4,2.1389546626469746,500,mild,mild_session_20251019_105407,1,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.388944,1.411358874276844,0.06276843686400001,0,0.4,1.6927261246630434,500,mild,mild_session_20251019_105407,2,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.6922540000000001,1.7149089404396958,0.077189073484,0,0.8,1.7895651797797687,500,mild,mild_session_20251019_105407,3,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.3682019999999997,1.3694423909022242,0.0033957491960000005,0,1.6,3.2865688501747075,500,mild,mild_session_20251019_105407,4,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.3421840000000003,1.350819019706193,0.023254134144,0,1.2000000000000002,2.969303634847677,500,mild,mild_session_20251019_105407,5,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
